Date,Day,Month,Route_ID,Transport_Type,Passengers,Revenue,Weather,Temperature,Is_Weekend,Is_Holiday,Peak_Hour
04-01-2024,Thursday,1,R3,Metro,154,6160,Rainy,39,0,0,0
04-01-2024,Thursday,1,R5,Metro,269,10760,Sunny,28,0,0,0
04-01-2024,Thursday,1,R4,Bus,253,5060,Cloudy,35,0,0,0
04-01-2024,Thursday,1,R4,Bus,271,5420,Sunny,24,0,0,0
04-01-2024,Thursday,1,R5,Metro,238,9520,Rainy,33,0,1,0
04-01-2024,Thursday,1,R2,Bus,445,8900,Sunny,30,0,0,1
04-01-2024,Thursday,1,R2,Bus,322,6440,Rainy,26,0,0,1
04-01-2024,Thursday,1,R2,Train,259,7770,Sunny,33,0,0,1
04-01-2024,Thursday,1,R3,Bus,73,1460,Rainy,22,0,0,1
04-01-2024,Thursday,1,R2,Train,93,2790,Sunny,28,0,0,0
04-01-2024,Thursday,1,R2,Bus,292,5840,Cloudy,31,0,0,0
04-01-2024,Thursday,1,R2,Bus,263,5260,Cloudy,16,0,1,0
04-01-2024,Thursday,1,R3,Bus,184,3680,Cloudy,27,0,0,0
04-01-2024,Thursday,1,R3,Bus,169,3380,Sunny,39,0,0,0
04-01-2024,Thursday,1,R4,Metro,150,6000,Sunny,17,0,0,0
04-01-2024,Thursday,1,R1,Train,433,12990,Cloudy,38,0,0,1
04-01-2024,Thursday,1,R5,Bus,348,6960,Sunny,17,0,0,1
04-01-2024,Thursday,1,R1,Metro,99,3960,Sunny,30,0,0,1
04-01-2024,Thursday,1,R1,Metro,228,9120,Rainy,18,0,0,1
04-01-2024,Thursday,1,R4,Bus,225,4500,Rainy,21,0,0,0
04-01-2024,Thursday,1,R4,Metro,217,8680,Rainy,30,0,0,0
04-01-2024,Thursday,1,R5,Bus,148,2960,Sunny,35,0,0,0
05-01-2024,Friday,1,R4,Bus,200,4000,Sunny,35,0,0,0
05-01-2024,Friday,1,R2,Metro,216,8640,Cloudy,19,0,0,0
05-01-2024,Friday,1,R3,Train,216,6480,Rainy,29,0,0,0
05-01-2024,Friday,1,R4,Bus,123,2460,Cloudy,20,0,0,0
05-01-2024,Friday,1,R5,Metro,186,7440,Cloudy,16,0,0,0
05-01-2024,Friday,1,R5,Bus,214,4280,Cloudy,30,0,0,0
05-01-2024,Friday,1,R5,Bus,135,2700,Sunny,39,0,0,0
05-01-2024,Friday,1,R5,Metro,249,9960,Rainy,36,0,0,1
05-01-2024,Friday,1,R3,Metro,166,6640,Rainy,17,0,0,1
05-01-2024,Friday,1,R5,Bus,436,8720,Cloudy,22,0,0,1
05-01-2024,Friday,1,R5,Train,184,5520,Rainy,27,0,0,1
05-01-2024,Friday,1,R4,Metro,238,9520,Rainy,39,0,0,0
05-01-2024,Friday,1,R1,Metro,166,6640,Cloudy,27,0,0,0
05-01-2024,Friday,1,R5,Bus,124,2480,Sunny,35,0,1,0
05-01-2024,Friday,1,R3,Bus,170,3400,Rainy,39,0,0,0
05-01-2024,Friday,1,R2,Train,282,8460,Sunny,15,0,0,0
05-01-2024,Friday,1,R5,Metro,133,5320,Rainy,39,0,0,0
05-01-2024,Friday,1,R3,Metro,409,16360,Cloudy,35,0,0,1
05-01-2024,Friday,1,R2,Metro,277,11080,Cloudy,19,0,0,1
05-01-2024,Friday,1,R1,Train,354,10620,Rainy,15,0,0,1
05-01-2024,Friday,1,R5,Bus,403,8060,Sunny,17,0,0,1
05-01-2024,Friday,1,R5,Metro,104,4160,Rainy,29,0,0,0
05-01-2024,Friday,1,R1,Metro,59,2360,Cloudy,27,0,0,0
05-01-2024,Friday,1,R5,Train,297,8910,Sunny,32,0,0,0
06-01-2024,Saturday,1,R1,Train,134,4020,Cloudy,36,1,0,0
06-01-2024,Saturday,1,R3,Train,226,6780,Sunny,23,1,0,0
06-01-2024,Saturday,1,R3,Train,178,5340,Sunny,20,1,0,0
06-01-2024,Saturday,1,R4,Bus,196,3920,Rainy,17,1,0,0
06-01-2024,Saturday,1,R5,Train,278,8340,Sunny,24,1,0,0
06-01-2024,Saturday,1,R3,Bus,134,2680,Cloudy,15,1,0,0
06-01-2024,Saturday,1,R3,Bus,254,5080,Cloudy,22,1,0,0
06-01-2024,Saturday,1,R2,Train,145,4350,Rainy,16,1,0,1
06-01-2024,Saturday,1,R3,Train,148,4440,Sunny,19,1,0,1
06-01-2024,Saturday,1,R3,Bus,302,6040,Rainy,29,1,1,1
06-01-2024,Saturday,1,R5,Bus,286,5720,Cloudy,21,1,0,1
06-01-2024,Saturday,1,R4,Metro,87,3480,Cloudy,29,1,0,0
06-01-2024,Saturday,1,R3,Train,240,7200,Cloudy,20,1,0,0
06-01-2024,Saturday,1,R1,Train,63,1890,Rainy,31,1,0,0
06-01-2024,Saturday,1,R5,Bus,181,3620,Cloudy,24,1,0,0
06-01-2024,Saturday,1,R1,Bus,83,1660,Cloudy,27,1,0,0
06-01-2024,Saturday,1,R3,Train,231,6930,Rainy,39,1,0,0
06-01-2024,Saturday,1,R3,Metro,289,11560,Sunny,17,1,0,1
06-01-2024,Saturday,1,R3,Bus,313,6260,Cloudy,33,1,0,1
06-01-2024,Saturday,1,R3,Bus,81,1620,Cloudy,36,1,0,1
06-01-2024,Saturday,1,R5,Metro,75,3000,Sunny,28,1,0,1
06-01-2024,Saturday,1,R2,Bus,127,2540,Cloudy,23,1,0,0
06-01-2024,Saturday,1,R2,Bus,96,1920,Sunny,38,1,0,0
06-01-2024,Saturday,1,R3,Train,126,3780,Sunny,18,1,1,0
07-01-2024,Sunday,1,R1,Bus,148,2960,Sunny,29,1,0,0
07-01-2024,Sunday,1,R2,Train,127,3810,Cloudy,28,1,0,0
07-01-2024,Sunday,1,R3,Train,44,1320,Rainy,28,1,0,0
07-01-2024,Sunday,1,R3,Train,286,8580,Cloudy,17,1,0,0
07-01-2024,Sunday,1,R3,Train,241,7230,Sunny,24,1,0,0
07-01-2024,Sunday,1,R1,Bus,280,5600,Cloudy,26,1,0,0
07-01-2024,Sunday,1,R1,Bus,62,1240,Sunny,17,1,0,0
07-01-2024,Sunday,1,R1,Bus,234,4680,Rainy,36,1,0,1
07-01-2024,Sunday,1,R2,Train,85,2550,Sunny,24,1,0,1
07-01-2024,Sunday,1,R1,Bus,82,1640,Cloudy,38,1,0,1
07-01-2024,Sunday,1,R3,Bus,370,7400,Sunny,35,1,0,1
07-01-2024,Sunday,1,R5,Metro,95,3800,Rainy,25,1,0,0
07-01-2024,Sunday,1,R1,Train,187,5610,Rainy,19,1,1,0
07-01-2024,Sunday,1,R4,Train,55,1650,Cloudy,25,1,0,0
07-01-2024,Sunday,1,R4,Train,183,5490,Cloudy,38,1,0,0
07-01-2024,Sunday,1,R3,Metro,234,9360,Cloudy,22,1,0,0
07-01-2024,Sunday,1,R2,Train,222,6660,Sunny,36,1,0,0
07-01-2024,Sunday,1,R4,Train,391,11730,Sunny,26,1,0,1
07-01-2024,Sunday,1,R1,Metro,286,11440,Cloudy,25,1,0,1
07-01-2024,Sunday,1,R4,Bus,340,6800,Rainy,32,1,0,1
07-01-2024,Sunday,1,R2,Bus,300,6000,Cloudy,27,1,0,1
07-01-2024,Sunday,1,R2,Bus,145,2900,Sunny,23,1,1,0
07-01-2024,Sunday,1,R3,Train,201,6030,Cloudy,31,1,0,0
07-01-2024,Sunday,1,R5,Metro,237,9480,Cloudy,38,1,0,0
08-01-2024,Monday,1,R3,Bus,168,3360,Rainy,22,0,0,0
08-01-2024,Monday,1,R4,Bus,96,1920,Rainy,28,0,0,0
08-01-2024,Monday,1,R4,Metro,84,3360,Sunny,33,0,0,0
08-01-2024,Monday,1,R3,Metro,203,8120,Cloudy,27,0,0,0
08-01-2024,Monday,1,R2,Bus,156,3120,Rainy,33,0,0,0
08-01-2024,Monday,1,R5,Metro,116,4640,Rainy,15,0,0,0
08-01-2024,Monday,1,R1,Bus,219,4380,Rainy,28,0,0,0
08-01-2024,Monday,1,R5,Train,105,3150,Rainy,17,0,0,1
08-01-2024,Monday,1,R3,Metro,289,11560,Rainy,15,0,0,1
08-01-2024,Monday,1,R4,Metro,336,13440,Rainy,20,0,0,1
08-01-2024,Monday,1,R1,Bus,333,6660,Rainy,18,0,0,1
08-01-2024,Monday,1,R2,Metro,43,1720,Rainy,36,0,0,0
08-01-2024,Monday,1,R5,Train,96,2880,Sunny,38,0,0,0
08-01-2024,Monday,1,R5,Bus,164,3280,Rainy,27,0,0,0
08-01-2024,Monday,1,R2,Train,115,3450,Rainy,18,0,0,0
08-01-2024,Monday,1,R2,Train,76,2280,Sunny,24,0,0,0
08-01-2024,Monday,1,R2,Metro,156,6240,Cloudy,32,0,0,0
08-01-2024,Monday,1,R1,Bus,192,3840,Rainy,18,0,0,1
08-01-2024,Monday,1,R4,Bus,253,5060,Sunny,24,0,0,1
08-01-2024,Monday,1,R1,Train,256,7680,Sunny,28,0,0,1
08-01-2024,Monday,1,R1,Metro,72,2880,Rainy,19,0,0,1
08-01-2024,Monday,1,R5,Metro,159,6360,Cloudy,15,0,0,0
08-01-2024,Monday,1,R3,Train,158,4740,Rainy,23,0,0,0
08-01-2024,Monday,1,R2,Bus,166,3320,Cloudy,34,0,0,0
09-01-2024,Tuesday,1,R1,Metro,124,4960,Cloudy,32,0,0,0
09-01-2024,Tuesday,1,R3,Metro,140,5600,Sunny,26,0,0,0
09-01-2024,Tuesday,1,R3,Train,231,6930,Sunny,20,0,0,0
09-01-2024,Tuesday,1,R5,Bus,226,4520,Sunny,36,0,0,0
09-01-2024,Tuesday,1,R2,Metro,262,10480,Sunny,34,0,0,0
09-01-2024,Tuesday,1,R1,Bus,197,3940,Cloudy,22,0,0,0
09-01-2024,Tuesday,1,R1,Train,50,1500,Sunny,33,0,0,0
09-01-2024,Tuesday,1,R3,Train,166,4980,Cloudy,27,0,0,1
09-01-2024,Tuesday,1,R5,Metro,231,9240,Rainy,28,0,0,1
09-01-2024,Tuesday,1,R3,Train,436,13080,Cloudy,31,0,0,1
09-01-2024,Tuesday,1,R2,Metro,258,10320,Rainy,15,0,0,1
09-01-2024,Tuesday,1,R5,Train,121,3630,Rainy,24,0,0,0
09-01-2024,Tuesday,1,R3,Metro,274,10960,Sunny,32,0,1,0
09-01-2024,Tuesday,1,R5,Bus,84,1680,Rainy,37,0,0,0
09-01-2024,Tuesday,1,R3,Train,121,3630,Cloudy,19,0,0,0
09-01-2024,Tuesday,1,R3,Train,116,3480,Rainy,17,0,0,0
09-01-2024,Tuesday,1,R3,Bus,231,4620,Sunny,37,0,0,0
09-01-2024,Tuesday,1,R2,Train,147,4410,Rainy,35,0,0,1
09-01-2024,Tuesday,1,R3,Bus,294,5880,Sunny,16,0,0,1
09-01-2024,Tuesday,1,R1,Train,295,8850,Rainy,16,0,0,1
09-01-2024,Tuesday,1,R3,Train,252,7560,Sunny,23,0,0,1
09-01-2024,Tuesday,1,R2,Bus,176,3520,Rainy,36,0,0,0
09-01-2024,Tuesday,1,R4,Bus,251,5020,Cloudy,28,0,0,0
09-01-2024,Tuesday,1,R1,Metro,164,6560,Sunny,22,0,0,0
10-01-2024,Wednesday,1,R2,Bus,59,1180,Rainy,36,0,0,0
10-01-2024,Wednesday,1,R3,Metro,53,2120,Cloudy,27,0,0,0
10-01-2024,Wednesday,1,R2,Train,68,2040,Rainy,35,0,0,0
10-01-2024,Wednesday,1,R2,Bus,215,4300,Cloudy,39,0,0,0
10-01-2024,Wednesday,1,R2,Train,166,4980,Cloudy,39,0,0,0
10-01-2024,Wednesday,1,R3,Metro,61,2440,Sunny,21,0,0,0
10-01-2024,Wednesday,1,R2,Bus,194,3880,Cloudy,28,0,0,0
10-01-2024,Wednesday,1,R2,Metro,234,9360,Sunny,18,0,0,1
10-01-2024,Wednesday,1,R3,Metro,117,4680,Sunny,25,0,0,1
10-01-2024,Wednesday,1,R4,Bus,283,5660,Rainy,36,0,0,1
10-01-2024,Wednesday,1,R2,Train,240,7200,Cloudy,38,0,0,1
10-01-2024,Wednesday,1,R1,Metro,68,2720,Rainy,17,0,0,0
10-01-2024,Wednesday,1,R4,Train,130,3900,Cloudy,25,0,0,0
10-01-2024,Wednesday,1,R2,Bus,203,4060,Cloudy,23,0,0,0
10-01-2024,Wednesday,1,R1,Bus,266,5320,Sunny,24,0,0,0
10-01-2024,Wednesday,1,R1,Train,67,2010,Rainy,26,0,0,0
10-01-2024,Wednesday,1,R4,Train,271,8130,Cloudy,33,0,0,0
10-01-2024,Wednesday,1,R5,Train,147,4410,Sunny,39,0,0,1
10-01-2024,Wednesday,1,R1,Train,91,2730,Cloudy,33,0,0,1
10-01-2024,Wednesday,1,R5,Bus,396,7920,Sunny,20,0,0,1
10-01-2024,Wednesday,1,R1,Metro,165,6600,Rainy,23,0,0,1
10-01-2024,Wednesday,1,R5,Metro,96,3840,Cloudy,31,0,0,0
10-01-2024,Wednesday,1,R2,Bus,135,2700,Cloudy,29,0,0,0
10-01-2024,Wednesday,1,R5,Train,148,4440,Rainy,32,0,0,0
11-01-2024,Thursday,1,R3,Train,270,8100,Cloudy,34,0,0,0
11-01-2024,Thursday,1,R3,Metro,236,9440,Cloudy,28,0,0,0
11-01-2024,Thursday,1,R3,Bus,117,2340,Rainy,22,0,0,0
11-01-2024,Thursday,1,R2,Train,211,6330,Rainy,31,0,0,0
11-01-2024,Thursday,1,R4,Bus,263,5260,Sunny,15,0,0,0
11-01-2024,Thursday,1,R5,Metro,157,6280,Cloudy,17,0,0,0
11-01-2024,Thursday,1,R2,Metro,165,6600,Rainy,27,0,0,0
11-01-2024,Thursday,1,R2,Train,268,8040,Rainy,31,0,1,1
11-01-2024,Thursday,1,R5,Metro,441,17640,Sunny,26,0,0,1
11-01-2024,Thursday,1,R1,Metro,310,12400,Sunny,34,0,0,1
11-01-2024,Thursday,1,R5,Bus,406,8120,Sunny,28,0,0,1
11-01-2024,Thursday,1,R2,Metro,310,12400,Sunny,15,0,1,0
11-01-2024,Thursday,1,R5,Metro,256,10240,Sunny,39,0,0,0
11-01-2024,Thursday,1,R4,Train,299,8970,Sunny,25,0,0,0
11-01-2024,Thursday,1,R4,Metro,70,2800,Rainy,25,0,0,0
11-01-2024,Thursday,1,R5,Metro,161,6440,Rainy,22,0,0,0
11-01-2024,Thursday,1,R4,Bus,112,2240,Cloudy,27,0,0,0
11-01-2024,Thursday,1,R2,Train,412,12360,Sunny,31,0,0,1
11-01-2024,Thursday,1,R2,Train,253,7590,Cloudy,36,0,0,1
11-01-2024,Thursday,1,R1,Bus,222,4440,Cloudy,24,0,0,1
11-01-2024,Thursday,1,R3,Metro,196,7840,Cloudy,17,0,0,1
11-01-2024,Thursday,1,R3,Metro,62,2480,Sunny,23,0,0,0
11-01-2024,Thursday,1,R4,Metro,150,6000,Cloudy,38,0,0,0
11-01-2024,Thursday,1,R3,Train,269,8070,Sunny,39,0,0,0
12-01-2024,Friday,1,R2,Metro,46,1840,Rainy,19,0,0,0
12-01-2024,Friday,1,R3,Train,286,8580,Rainy,19,0,1,0
12-01-2024,Friday,1,R2,Metro,247,9880,Sunny,27,0,0,0
12-01-2024,Friday,1,R4,Bus,254,5080,Sunny,27,0,0,0
12-01-2024,Friday,1,R5,Train,188,5640,Rainy,16,0,0,0
12-01-2024,Friday,1,R3,Bus,286,5720,Sunny,33,0,0,0
12-01-2024,Friday,1,R4,Bus,86,1720,Rainy,27,0,0,0
12-01-2024,Friday,1,R3,Bus,207,4140,Sunny,20,0,0,1
12-01-2024,Friday,1,R4,Train,218,6540,Rainy,39,0,0,1
12-01-2024,Friday,1,R3,Train,108,3240,Cloudy,25,0,0,1
12-01-2024,Friday,1,R5,Metro,137,5480,Rainy,16,0,1,1
12-01-2024,Friday,1,R5,Bus,48,960,Rainy,27,0,0,0
12-01-2024,Friday,1,R3,Bus,282,5640,Sunny,16,0,0,0
12-01-2024,Friday,1,R4,Bus,212,4240,Cloudy,21,0,0,0
12-01-2024,Friday,1,R2,Bus,273,5460,Cloudy,29,0,0,0
12-01-2024,Friday,1,R5,Bus,71,1420,Cloudy,31,0,0,0
12-01-2024,Friday,1,R4,Metro,194,7760,Cloudy,36,0,0,0
12-01-2024,Friday,1,R2,Train,388,11640,Cloudy,29,0,0,1
12-01-2024,Friday,1,R5,Train,414,12420,Sunny,25,0,0,1
12-01-2024,Friday,1,R1,Metro,192,7680,Rainy,25,0,0,1
12-01-2024,Friday,1,R2,Train,112,3360,Cloudy,18,0,0,1
12-01-2024,Friday,1,R1,Train,190,5700,Sunny,37,0,0,0
12-01-2024,Friday,1,R5,Bus,124,2480,Cloudy,34,0,0,0
12-01-2024,Friday,1,R3,Train,244,7320,Sunny,38,0,0,0
13-01-2024,Saturday,1,R4,Bus,56,1120,Rainy,34,1,0,0
13-01-2024,Saturday,1,R3,Bus,196,3920,Rainy,20,1,0,0
13-01-2024,Saturday,1,R2,Bus,212,4240,Sunny,26,1,0,0
13-01-2024,Saturday,1,R2,Train,228,6840,Rainy,28,1,0,0
13-01-2024,Saturday,1,R1,Bus,142,2840,Sunny,28,1,0,0
13-01-2024,Saturday,1,R2,Train,180,5400,Sunny,35,1,0,0
13-01-2024,Saturday,1,R4,Metro,180,7200,Cloudy,28,1,0,0
13-01-2024,Saturday,1,R1,Metro,427,17080,Sunny,39,1,0,1
13-01-2024,Saturday,1,R4,Train,394,11820,Cloudy,16,1,0,1
13-01-2024,Saturday,1,R3,Bus,387,7740,Sunny,32,1,0,1
13-01-2024,Saturday,1,R3,Bus,399,7980,Sunny,23,1,0,1
13-01-2024,Saturday,1,R3,Metro,228,9120,Sunny,39,1,0,0
13-01-2024,Saturday,1,R4,Bus,251,5020,Cloudy,16,1,0,0
13-01-2024,Saturday,1,R1,Bus,282,5640,Sunny,27,1,0,0
13-01-2024,Saturday,1,R4,Metro,159,6360,Rainy,21,1,0,0
13-01-2024,Saturday,1,R2,Metro,171,6840,Cloudy,24,1,0,0
13-01-2024,Saturday,1,R4,Bus,122,2440,Rainy,20,1,0,0
13-01-2024,Saturday,1,R1,Metro,146,5840,Rainy,23,1,0,1
13-01-2024,Saturday,1,R2,Metro,211,8440,Cloudy,29,1,0,1
13-01-2024,Saturday,1,R3,Train,67,2010,Rainy,18,1,0,1
13-01-2024,Saturday,1,R2,Metro,243,9720,Rainy,23,1,0,1
13-01-2024,Saturday,1,R4,Metro,50,2000,Rainy,26,1,0,0
13-01-2024,Saturday,1,R4,Bus,74,1480,Sunny,33,1,0,0
13-01-2024,Saturday,1,R4,Bus,185,3700,Sunny,37,1,0,0
14-01-2024,Sunday,1,R3,Metro,247,9880,Cloudy,19,1,0,0
14-01-2024,Sunday,1,R1,Train,180,5400,Cloudy,36,1,0,0
14-01-2024,Sunday,1,R1,Train,125,3750,Sunny,38,1,0,0
14-01-2024,Sunday,1,R4,Bus,53,1060,Cloudy,38,1,0,0
14-01-2024,Sunday,1,R2,Bus,228,4560,Sunny,35,1,0,0
14-01-2024,Sunday,1,R2,Metro,128,5120,Cloudy,21,1,0,0
14-01-2024,Sunday,1,R2,Train,164,4920,Cloudy,26,1,0,0
14-01-2024,Sunday,1,R3,Bus,100,2000,Sunny,17,1,0,1
14-01-2024,Sunday,1,R2,Metro,204,8160,Cloudy,28,1,0,1
14-01-2024,Sunday,1,R2,Train,129,3870,Sunny,23,1,0,1
14-01-2024,Sunday,1,R4,Bus,240,4800,Cloudy,39,1,0,1
14-01-2024,Sunday,1,R4,Metro,280,11200,Cloudy,39,1,0,0
14-01-2024,Sunday,1,R1,Metro,275,11000,Sunny,15,1,1,0
14-01-2024,Sunday,1,R4,Bus,160,3200,Rainy,24,1,0,0
14-01-2024,Sunday,1,R3,Metro,63,2520,Cloudy,26,1,0,0
14-01-2024,Sunday,1,R1,Bus,145,2900,Rainy,39,1,0,0
14-01-2024,Sunday,1,R4,Bus,156,3120,Sunny,26,1,0,0
14-01-2024,Sunday,1,R5,Bus,348,6960,Rainy,26,1,0,1
14-01-2024,Sunday,1,R3,Bus,295,5900,Cloudy,23,1,0,1
14-01-2024,Sunday,1,R5,Metro,117,4680,Sunny,20,1,0,1
14-01-2024,Sunday,1,R5,Bus,162,3240,Sunny,33,1,0,1
14-01-2024,Sunday,1,R4,Metro,69,2760,Sunny,25,1,0,0
14-01-2024,Sunday,1,R2,Bus,99,1980,Sunny,38,1,0,0
14-01-2024,Sunday,1,R3,Metro,200,8000,Cloudy,27,1,0,0
15-01-2024,Monday,1,R4,Metro,226,9040,Rainy,35,0,0,0
15-01-2024,Monday,1,R1,Train,57,1710,Sunny,19,0,0,0
15-01-2024,Monday,1,R2,Bus,83,1660,Rainy,24,0,0,0
15-01-2024,Monday,1,R2,Metro,194,7760,Cloudy,22,0,0,0
15-01-2024,Monday,1,R1,Train,121,3630,Sunny,15,0,0,0
15-01-2024,Monday,1,R1,Train,80,2400,Cloudy,19,0,0,0
15-01-2024,Monday,1,R1,Metro,239,9560,Cloudy,20,0,0,0
15-01-2024,Monday,1,R1,Bus,327,6540,Sunny,23,0,0,1
15-01-2024,Monday,1,R5,Bus,312,6240,Sunny,16,0,0,1
15-01-2024,Monday,1,R5,Metro,430,17200,Cloudy,16,0,0,1
15-01-2024,Monday,1,R2,Bus,338,6760,Rainy,25,0,0,1
15-01-2024,Monday,1,R1,Metro,107,4280,Rainy,29,0,1,0
15-01-2024,Monday,1,R1,Metro,198,7920,Rainy,39,0,0,0
15-01-2024,Monday,1,R1,Bus,273,5460,Sunny,20,0,0,0
15-01-2024,Monday,1,R2,Train,148,4440,Cloudy,16,0,0,0
15-01-2024,Monday,1,R1,Train,134,4020,Cloudy,16,0,0,0
15-01-2024,Monday,1,R4,Bus,270,5400,Cloudy,19,0,0,0
15-01-2024,Monday,1,R2,Bus,307,6140,Rainy,37,0,0,1
15-01-2024,Monday,1,R2,Train,330,9900,Sunny,25,0,0,1
15-01-2024,Monday,1,R5,Train,88,2640,Rainy,18,0,0,1
